Code,Date,Open,High,Low,Close,Volume,Accum,Accum 2
AALI,6/2/2020,7400,7625,7300,7350,26952,-2021,-2937
ABBA,6/2/2020,50,50,50,50,4579,-2984,0
ABDA,6/2/2020,5750,5750,5750,5750,5,0,0
ABMM,6/2/2020,1525,1525,1525,1525,1,1,0
ACES,6/2/2020,1560,1560,1475,1475,284543,-51620,-36799
ACST,6/2/2020,244,250,242,248,10234,-1426,0
ADES,6/2/2020,960,970,895,895,2220,973,-9
ADHI,6/2/2020,505,525,500,515,261579,-183494,-78356
ADMF,6/2/2020,6600,6750,6600,6750,2889,493,229
ADMG,6/2/2020,91,96,91,94,19285,-3454,-419
ADRO,6/2/2020,1100,1185,1095,1145,1238237,-121866,-68306
AGAR,6/2/2020,480,480,480,480,3,-3,0
AGII,6/2/2020,408,420,408,420,3623,567,-2
AGRO,6/2/2020,120,127,120,125,198466,29188,-2401
AGRS,6/2/2020,103,112,102,109,463,628,240
AHAP,6/2/2020,56,56,54,54,8,-1,0
AIMS,6/2/2020,180,180,180,180,0,0,0
AISA,6/2/2020,168,168,168,168,0,0,0
AKKU,6/2/2020,50,50,50,50,5,-10,-5
AKPI,6/2/2020,378,380,356,380,21,3,0
AKRA,6/2/2020,2330,2460,2330,2440,204680,20506,17500
AKSI,6/2/2020,117,150,117,141,7438,-818,0
ALDO,6/2/2020,410,440,400,440,23,-19,0
ALKA,6/2/2020,400,400,400,400,0,0,0
ALMI,6/2/2020,202,202,202,202,1,0,0
ALTO,6/2/2020,388,400,388,398,4,0,0
AMAG,6/2/2020,268,268,268,268,0,0,0
AMAN,6/2/2020,190,200,190,194,70,-15,0
AMAR,6/2/2020,200,224,200,216,2586,32,0
AMFG,6/2/2020,3110,3120,3110,3120,155,155,0
AMIN,6/2/2020,400,400,400,400,0,0,0
AMOR,6/2/2020,1985,1990,1955,1990,1017,-276,-244
AMRT,6/2/2020,905,910,885,900,230,-153,-12
ANDI,6/2/2020,50,50,50,50,309,-289,0
ANJT,6/2/2020,412,432,412,424,1342,-1340,0
ANTM,6/2/2020,540,570,535,555,1377546,110462,116646
APEX,6/2/2020,90,98,89,98,5250,-9848,-4927
APIC,6/2/2020,1035,1035,1000,1010,262851,74968,35713
APII,6/2/2020,220,220,220,220,1,-1,0
APLI,6/2/2020,135,139,135,138,355,2,0
APLN,6/2/2020,100,105,98,103,347469,19717,-3705
ARGO,6/2/2020,825,825,825,825,0,0,0
ARII,6/2/2020,680,680,680,680,57,55,-1
ARKA,6/2/2020,1235,1235,1210,1210,6,-5,-1
ARMY,6/2/2020,50,50,50,50,0,0,0
ARNA,6/2/2020,394,394,390,394,2842,-1254,-1706
ARTA,6/2/2020,410,410,410,410,0,0,0
ARTI,6/2/2020,50,50,50,50,0,0,0
ARTO,6/2/2020,900,900,875,880,2248,-536,0
ASBI,6/2/2020,270,336,270,336,412,55,-112
ASDM,6/2/2020,1030,1030,1030,1030,0,0,0
ASGR,6/2/2020,705,725,695,700,1674,-1056,0
ASII,6/2/2020,4760,4950,4630,4730,724259,-51651,58
ASJT,6/2/2020,108,115,106,107,1166,869,0
ASMI,6/2/2020,1095,1100,1080,1095,222,-164,0
ASPI,6/2/2020,488,488,466,468,74158,23655,-5877
ASPI-W,6/2/2020,56,57,52,55,87040,1278,400
ASRI,6/2/2020,109,112,106,110,311696,-153513,-79111
ASRM,6/2/2020,1810,1810,1810,1810,1,-1,0
ASSA,6/2/2020,356,414,356,400,114623,13180,15310
ATIC,6/2/2020,775,825,775,825,117,-10,0
AUTO,6/2/2020,770,805,760,800,23387,-3243,-1246
AYLS,6/2/2020,50,50,50,50,1014,-460,0
AYLS-W,6/2/2020,5,5,4,5,5633,-1763,0
BABP,6/2/2020,50,50,50,50,104,0,0
BABP-W3,6/2/2020,28,28,28,28,6,0,0
